ParticipantID,Trial,Saccade,Direction,Amplitude,PeakVelocity,MeanVelocity,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Blink,SearchType,SearchOrder,Task,ParticipantGender,Stimulus,ActorGender,Directionality,Ostension,Year
3_1_f1,1,6,LEFT,2.01,127.8,83.62,1714,1737,24,450.1,808.8,352.4,761.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,7,DOWN,1.44,82.61,49.66,2143,2171,29,348.6,759.2,359.7,821.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,8,UP,1.44,97.2,65.61,2293,2314,22,351.7,810.4,328,750.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,9,RIGHT,16.56,532.81,209.61,2581,2659,79,332.9,752.2,1281.1,810.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,11,LEFT,1.97,132.83,85.77,3103,3125,23,1309.4,788.5,1198.1,796.9,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,12,RIGHT,0.63,51.8,56.95,3441,3451,11,1218.8,784.7,1253.7,780.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,54,RIGHT,1.54,103.92,61.41,16598,16622,25,1557.6,695,1637.4,723.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,55,UP,4.13,317,98.33,16759,16800,42,1617.6,726,1635.2,552.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,56,LEFT,3.13,223.83,80.14,17068,17106,39,1635.6,536.7,1459.2,544.7,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,57,LEFT,3.79,240.33,135.31,17361,17388,28,1432.7,548,1222.8,557.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,58,LEFT,5.18,269.03,103.67,17711,17760,50,1211.3,560.3,927.2,548.1,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,59,LEFT,3.77,276.95,85.75,18026,18069,44,903.5,543.6,697.5,558.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,60,LEFT,4.27,276.88,89.06,18228,18275,48,669.9,549.7,432,550.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,10,RIGHT,1.24,72.57,68.75,2888,2905,18,1257.3,813.9,1314.4,782.7,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,20,UP,3.2,246.4,84.23,5984,6021,38,1606.4,629.9,1489.1,528.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,21,LEFT,5.74,348.02,119.59,6230,6277,48,1454.6,522.5,1138.4,545.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,22,LEFT,5.18,324.8,110.26,6493,6539,47,1097.9,546.2,814.6,539,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,23,LEFT,2.16,154.59,72.12,6788,6817,30,785.6,545,673.3,516.7,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,24,LEFT,2.84,243.35,67.67,7023,7064,42,682,526,530.4,496.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,25,LEFT,1.93,181.44,47.13,7260,7300,41,498.4,501,390.5,497.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,35,RIGHT,1.49,155.68,37.23,10317,10356,40,468.4,994.6,546.5,963.8,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,36,RIGHT,7.7,361.54,122.27,10595,10657,63,551.6,947.3,997.2,932.5,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,37,LEFT,1.96,133.87,78.32,10864,10888,25,985.4,933.8,879.8,904.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,38,DOWN,2.04,135.39,81.51,11087,11111,25,892.5,910.1,925.5,998,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,39,UP,1.77,125.33,70.99,11504,11528,25,927.5,978.5,999.4,921.9,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,40,LEFT,1.07,74.41,59.36,11786,11803,18,997.6,944.5,939.5,929.2,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,41,UP,2.45,145.78,90.84,11958,11984,27,953.2,932.7,918.4,828.3,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,42,UP,1.17,80.37,55.86,12223,12243,21,915.6,844.3,869.3,808,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,43,RIGHT,8.96,400.05,133.67,13169,13235,67,865.3,817.8,1358.8,925.9,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,44,DOWN,2.43,154.23,93.33,13540,13565,26,1333.9,917.8,1406.7,1012.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,45,LEFT,1.92,199.4,54.73,13810,13844,35,1390.5,1001.1,1292.8,1045.6,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
3_1_f1,1,46,RIGHT,3.2,257.98,69.53,14184,14229,46,1267.6,1054.2,1457.1,1045.4,false,Search,1,VisualSearch,female,ng021ws.jpg,NA,NA,NA,2018
